,T1/ms,T1 error/ms,T2/ms,T2 error/ms
mineral oil,91.652,5.807,88.6117,3.2608
glycerol 100%,27.525,0.711,19.3596,1.0929
CuSO4 50%,1.072,0.09,1.089,0.028
H2O,1347.9,225.979,620.47,42.5
NaCl 100%,1642.2,557.226,231.746739,6.284476
