Time,Channel A
0.01279531,-0.02380444
0.01791531,0.0
0.02303531,0.04760887
0.02815531,0.1190222
0.03327531,0.2063356
0.03839531,0.2777489
0.04351531,0.341258
0.04863531,0.3968017
0.05375531,0.4523759
0.05887531,0.4999847
0.06399531,0.5396588
0.0691153,0.5793634
0.0742353,0.6031678
0.0793553,0.6269723
0.0844753,0.6507767
0.0895953,0.6745811
0.0947153,0.6904508
0.0998353,0.7063204
0.1049553,0.7142857
0.1100753,0.7222205
0.1151953,0.7301553
0.1203153,0.7380902
0.1254353,0.746025
0.1305553,0.7539598
0.1356753,0.7539598
0.1407953,0.7539598
0.1459153,0.7618946
0.1510353,0.7618946
0.1561553,0.7618946
0.1612753,0.7618946
0.1663953,0.7618946
0.1715153,0.7618946
0.1766353,0.7618946
0.1817553,0.7618946
0.1868753,0.7618946
0.1919953,0.7618946
0.1971153,0.7618946
0.2022353,0.7618946
0.2073553,0.7618946
0.2124753,0.7618946
0.2175953,0.7539598
0.2227153,0.7539598
0.2278353,0.746025
0.2329553,0.746025
0.2380753,0.746025
0.2431953,0.746025
0.2483153,0.746025
0.2534353,0.746025
0.2585553,0.7380902
0.2636753,0.7380902
0.2687953,0.7380902
0.2739153,0.7380902
0.2790353,0.7301553
0.2841553,0.7301553
0.2892753,0.7222205
0.2943953,0.7222205
0.2995153,0.7142857
0.3046353,0.7142857
0.3097553,0.7142857
0.3148753,0.7142857
0.3199953,0.7063204
0.3251153,0.7063204
0.3302353,0.7063204
0.3353553,0.6983856
0.3404753,0.6983856
0.3455953,0.6983856
0.3507153,0.6904508
0.3558353,0.6825159
0.3609553,0.6825159
0.3660753,0.6825159
0.3711953,0.6745811
0.3763153,0.6745811
0.3814353,0.6745811
0.3865553,0.6666463
0.3916753,0.6666463
0.3967953,0.6587115
0.4019153,0.6587115
0.4070353,0.6507767
0.4121553,0.6507767
0.4172753,0.6428419
0.4223953,0.6428419
0.4275153,0.6428419
0.4326353,0.6349071
0.4377553,0.6349071
0.4428753,0.6269723
0.4479953,0.6269723
0.4531153,0.6190374
0.4582353,0.6190374
0.4633553,0.6190374
0.4684753,0.6111026
0.4735953,0.6031678
0.4787153,0.6031678
0.4838353,0.595233
0.4889553,0.595233
0.4940753,0.5872982
0.4991953,0.5872982
0.5043153,0.5793634
0.5094353,0.5793634
0.5145553,0.5793634
0.5196753,0.5714286
0.5247953,0.5714286
0.5299153,0.5634632
0.5350353,0.5555284
0.5401553,0.5555284
0.5452753,0.5475936
0.5503953,0.5475936
0.5555153,0.5475936
