Time,Channel A
0.01279203,1.26957
0.01791203,1.110874
0.02303203,1.26957
0.02815203,1.428266
0.03327203,1.586962
0.03839203,1.745659
0.04351203,1.745659
0.04863203,1.904355
0.05375203,1.904355
0.05887203,1.904355
0.06399203,1.904355
0.06911203,2.063051
0.07423203,2.063051
0.07935203,2.063051
0.08447203,2.063051
0.08959203,2.063051
0.09471203,2.063051
0.09983203,2.063051
0.10495203,2.221747
0.11007203,2.221747
0.11519203,2.221747
0.12031203,2.221747
0.12543203,2.221747
0.13055203,2.221747
0.13567203,2.221747
0.14079203,2.380444
0.14591203,2.380444
0.15103203,2.380444
0.15615203,2.380444
0.16127203,2.380444
0.16639203,2.53914
0.17151203,2.53914
0.17663203,2.53914
0.18175203,2.53914
0.18687203,2.53914
0.19199203,2.697836
0.19711203,2.697836
0.20223203,2.697836
0.20735203,2.697836
0.21247203,2.857143
0.21759203,2.857143
0.22271203,2.857143
0.22783203,2.857143
0.23295203,2.857143
0.23807203,2.857143
0.24319203,3.015839
0.24831203,3.015839
0.25343203,3.015839
0.25855203,3.174535
0.26367203,3.174535
0.26879203,3.174535
0.27391203,3.174535
0.27903203,3.174535
0.28415203,3.174535
0.28927203,3.333232
0.29439203,3.333232
0.29951203,3.333232
0.30463203,3.333232
0.30975203,3.491928
0.31487203,3.491928
0.31999203,3.491928
0.32511203,3.491928
0.33023203,3.650624
0.33535203,3.650624
0.34047203,3.650624
0.34559203,3.650624
0.35071203,3.80932
0.35583203,3.80932
0.36095203,3.80932
0.36607203,3.80932
0.37119203,3.80932
0.37631203,3.968017
0.38143203,3.968017
0.38655203,3.968017
0.39167203,3.968017
0.39679203,4.126713
0.40191203,4.126713
0.40703203,4.126713
0.41215203,4.285409
0.41727203,4.285409
0.42239203,4.285409
0.42751202,4.285409
0.43263202,4.285409
0.43775202,4.444105
0.44287202,4.444105
0.44799202,4.444105
0.45311202,4.444105
0.45823202,4.444105
0.46335202,4.602802
0.46847202,4.602802
0.47359202,4.602802
0.47871202,4.761498
0.48383202,4.761498
0.48895202,4.761498
0.49407202,4.920194
0.49919202,4.920194
0.50431202,4.920194
0.50943202,4.920194
0.51455202,4.920194
0.51967202,5.07889
0.52479202,5.07889
0.52991202,5.07889
0.53503202,5.07889
0.54015202,5.07889
0.54527202,5.237586
0.55039202,5.237586
0.55551202,5.237586
0.56063202,5.237586
0.56575202,5.237586
0.57087202,5.237586
0.57599202,5.396283
0.58111202,5.396283
0.58623202,5.396283
0.59135202,5.554979
0.59647202,5.554979
0.60159202,5.554979
0.60671202,5.554979
0.61183202,5.714286
0.61695202,5.714286
0.62207202,5.714286
0.62719202,5.714286
0.63231202,5.872982
0.63743202,5.872982
0.64255202,5.872982
0.64767202,5.872982
0.65279202,5.872982
0.65791202,6.031678
0.66303202,6.031678
0.66815202,6.031678
0.67327202,6.031678
0.67839202,6.031678
0.68351202,6.190374
0.68863202,6.190374
0.69375202,6.190374
0.69887202,6.190374
0.70399202,6.190374
0.70911202,6.349071
0.71423202,6.349071
0.71935202,6.349071
0.72447202,6.349071
0.72959202,6.349071
0.73471202,6.349071
0.73983202,6.507767
0.74495202,6.507767
0.75007202,6.507767
0.75519202,6.507767
0.76031202,6.507767
0.76543202,6.507767
0.77055202,6.507767
0.77567202,6.507767
0.78079202,6.666463
0.78591202,6.666463
0.79103202,6.666463
0.79615202,6.666463
0.80127202,6.666463
0.80639202,6.666463
0.81151202,6.666463
0.81663202,6.666463
0.82175202,6.666463
0.82687202,6.82516
0.83199202,6.666463
0.83711202,6.82516
0.84223202,6.666463
0.84735202,6.82516
0.85247202,6.82516
0.85759202,6.82516
0.86271202,6.82516
0.86783202,6.82516
0.87295202,6.82516
0.87807202,6.82516
0.88319202,6.82516
0.88831202,6.82516
0.89343202,6.82516
0.89855202,6.82516
0.90367202,6.82516
0.90879202,6.82516
0.91391202,6.82516
0.91903202,6.82516
0.92415202,6.82516
0.92927202,6.82516
0.93439202,6.82516
0.93951202,6.82516
0.94463202,6.82516
0.94975202,6.82516
0.95487202,6.82516
0.95999202,6.983856
0.96511202,6.983856
0.97023202,6.82516
0.97535202,6.983856
0.98047202,6.983856
0.98559202,6.82516
0.99071202,6.82516
0.99583202,6.82516
1.00095202,6.82516
1.00607202,6.82516
1.01119202,6.82516
1.01631202,6.82516
1.02143202,6.82516
1.02655202,6.82516
1.03167202,6.82516
1.03679202,6.82516
1.04191202,6.82516
1.04703202,6.82516
1.05215202,6.82516
1.05727202,6.82516
1.06239202,6.666463
1.06751202,6.666463
1.07263202,6.666463
1.07775202,6.666463
1.08287202,6.666463
1.08799202,6.666463
1.09311202,6.666463
1.09823202,6.666463
1.10335202,6.666463
1.10847202,6.666463
1.11359202,6.507767
1.11871202,6.507767
1.12383202,6.507767
1.12895202,6.507767
1.13407202,6.507767
1.13919202,6.507767
1.14431202,6.349071
1.14943202,6.349071
1.15455202,6.349071
1.15967202,6.349071
1.16479202,6.349071
1.16991202,6.190374
1.17503202,6.190374
1.18015202,6.190374
1.18527202,6.190374
1.19039202,6.190374
1.19551202,6.190374
1.20063202,6.031678
1.20575202,6.031678
1.21087202,6.031678
1.21599202,6.031678
1.22111202,6.031678
1.22623202,5.872982
1.23135202,5.872982
1.23647202,5.872982
1.24159202,5.872982
1.24671202,5.872982
1.25183202,5.872982
1.25695202,5.714286
1.26207202,5.714286
1.26719202,5.714286
1.27231202,5.714286
1.27743202,5.554979
1.28255202,5.554979
1.28767202,5.554979
1.29279202,5.396283
1.29791202,5.396283
1.30303202,5.396283
1.30815202,5.396283
1.31327202,5.237586
1.31839202,5.237586
1.32351202,5.237586
1.32863202,5.237586
1.33375202,5.237586
1.33887202,5.237586
1.34399202,5.07889
1.34911202,5.07889
1.35423202,5.07889
1.35935202,5.07889
1.36447202,4.920194
1.36959202,4.920194
1.37471202,4.920194
